Method;NDCG_User;NDCG_Item;Recall_User;Recall_Item;HitRate_User;HitRate_Item;MAP_User;MAP_Item
prst_den_add_neg;0.5720;0.4101;0.4951;0.2533;0.4673;0.3451;0.5726;0.4259
prst_den_add_pos;0.7317;0.6875;0.6467;0.4417;0.6482;0.5940;0.7336;0.6937
prst_den_exp;0.7339;0.6763;0.6516;0.4319;0.6530;0.5845;0.7334;0.6815
prst_den_inv_neg;0.7162;0.3311;0.6375;0.2576;0.6333;0.2439;0.7211;0.3417
prst_den_inv_pos;0.3154;0.3337;0.2554;0.1696;0.2321;0.3180;0.3269;0.3491
prst_dim_add_neg;0.6822;0.5784;0.6130;0.3496;0.5965;0.4834;0.6872;0.5953
prst_dim_add_pos;0.8068;0.8850;0.7040;0.7139;0.7423;0.8288;0.8097;0.8816
prst_dim_exp;0.8155;0.8865;0.7262;0.7553;0.7636;0.8587;0.8174;0.8809
prst_dim_inv_neg;0.8095;0.8231;0.6752;0.7553;0.7695;0.7868;0.8093;0.8156
prst_dim_inv_pos;0.5027;0.4447;0.4084;0.3631;0.4158;0.4900;0.5050;0.4626
prst_over_add_neg;0.7603;0.6697;0.6506;0.4235;0.6801;0.5727;0.7678;0.6821
prst_over_add_pos;0.7025;0.7322;0.6315;0.4919;0.6208;0.6395;0.7064;0.7387
prst_over_exp;0.6965;0.7360;0.6335;0.4963;0.6159;0.6433;0.6978;0.7421
prst_over_inv_neg;0.7202;0.8214;0.6445;0.6363;0.6441;0.7417;0.7233;0.8199
prst_over_inv_pos;0.7271;0.6378;0.6374;0.3838;0.6439;0.5393;0.7332;0.6516
prst_std;0.7123;0.6876;0.6297;0.4435;0.6262;0.5913;0.7174;0.6973
prst_vol_add_neg;0.7381;0.6538;0.6916;0.4375;0.6708;0.5838;0.7405;0.6583
prst_vol_add_pos;0.7135;0.6191;0.6118;0.3624;0.6256;0.5230;0.7218;0.6318
prst_vol_exp;0.7036;0.5767;0.5857;0.3063;0.6151;0.4781;0.7136;0.5913
