Method;Age;Gender
prst;0.9042;0.4440
prst_den_add_pos;0.8597;0.4242
prst_den_add_neg;0.8574;0.4216
prst_den_inv_pos;0.8426;0.4245
prst_den_inv_neg;0.8603;0.4240
prst_den_exp;0.8590;0.4241
prst_dim_add_pos;0.9042;0.4291
prst_dim_add_neg;0.8184;0.2984
prst_dim_inv_pos;0.8338;0.2331
prst_dim_inv_neg;0.8749;0.3053
prst_dim_exp;0.9037;0.4175
prst_vol_add_pos;0.2359;0.4079
prst_vol_add_neg;0.8849;0.3196
prst_vol_inv_pos;0.4143;0.7270
prst_vol_inv_neg;0.4106;0.3772
prst_vol_exp;0.5454;0.5166
prst_over_add_pos;0.9040;0.6877
prst_over_add_neg;0.9006;0.6652
prst_over_inv_pos;0.9020;0.2783
prst_over_exp;0.9038;0.6868
rm;0.7863;0.6142
rm_den_add_pos;0.2537;0.0770
rm_den_add_neg;0.2536;0.0770
rm_den_inv_pos;0.1745;0.0981
rm_den_inv_neg;0.2536;0.0770
rm_den_exp;0.2539;0.0770
rm_dim_add_pos;0.2663;0.0766
rm_dim_add_neg;0.2277;0.1592
rm_dim_inv_pos;0.2172;0.1291
rm_dim_inv_neg;0.1990;0.1973
rm_dim_exp;0.2637;0.0717
rm_vol_add_pos;0.4644;0.1764
rm_vol_add_neg;0.8150;0.6157
rm_vol_inv_pos;0.1330;0.1872
rm_vol_inv_neg;0.4223;0.1899
rm_vol_exp;0.3966;0.4825
rm_over_add_pos;0.2316;0.1654
rm_over_add_neg;0.7482;0.6326
rm_over_inv_pos;0.5008;0.6038
rm_over_inv_neg;0.2536;0.2439
rm_over_exp;0.2373;0.1704
sc;0.2813;0.1441
sc_den_add_pos;0.2814;0.1422
sc_den_add_neg;0.2813;0.1425
sc_den_inv_pos;0.2765;0.1418
sc_den_inv_neg;0.2813;0.1421
sc_den_exp;0.2814;0.1423
sc_dim_add_pos;0.2821;0.1509
sc_dim_add_neg;0.2814;0.1404
sc_dim_inv_pos;0.2805;0.1416
sc_dim_inv_neg;0.2799;0.2100
sc_dim_exp;0.2819;0.1530
sc_vol_add_pos;0.2824;0.1630
sc_vol_add_neg;0.2759;0.0896
sc_vol_inv_pos;0.3687;0.0460
sc_vol_inv_neg;0.2770;0.1693
sc_vol_exp;0.3123;0.1617
sc_over_add_pos;0.2812;0.1454
sc_over_add_neg;0.7379;0.4635
sc_over_inv_pos;0.5606;0.0535
sc_over_inv_neg;0.2813;0.1465
sc_over_exp;0.2811;0.1459
